species,source,classification
gyrfalcon,all_about_birds,Tundra
gyrfalcon,vickery_1999_facultative,facultative grassland
hairy_woodpecker,all_about_birds,Forests
hammonds_flycatcher,all_about_birds,Forests
harlequin_duck,all_about_birds,Rivers and Streams
harriss_hawk,all_about_birds,Scrub
henslows_sparrow,all_about_birds,Grasslands
henslows_sparrow,vickery_1999_obligate,grassland obligate
hepatic_tanager,all_about_birds,Forests
hermit_thrush,all_about_birds,Open Woodlands
hermit_warbler,all_about_birds,Forests
herring_gull,all_about_birds,Shorelines
hoary_redpoll,all_about_birds,Open Woodlands
hooded_merganser,all_about_birds,Lakes and Ponds
hooded_oriole,all_about_birds,Open Woodlands
hooded_warbler,all_about_birds,Forests
horned_grebe,all_about_birds,Lakes and Ponds
horned_lark,all_about_birds,Grasslands
horned_lark,vickery_1999_obligate,grassland obligate
house_finch,all_about_birds,Towns
house_finch,vgbi,facultative grassland
house_sparrow,all_about_birds,Towns
house_wren,all_about_birds,Scrub
hudsonian_godwit,vickery_1999_facultative,facultative grassland
huttons_vireo,all_about_birds,Forests
inca_dove,all_about_birds,Towns
indigo_bunting,all_about_birds,Open Woodlands
indigo_bunting,peterjohn_2006,shrubland
indigo_bunting,vgbi,facultative grassland
jabiru,vickery_1999_facultative,facultative grassland
juniper_titmouse,all_about_birds,Open Woodlands
kentucky_warbler,all_about_birds,Forests
killdeer,all_about_birds,Grasslands
killdeer,vgbi,facultative grassland
killdeer,vickery_1999_facultative,facultative grassland
king_rail,all_about_birds,Marshes
kirtlands_warbler,all_about_birds,Scrub
ladder_backed_woodpecker,all_about_birds,Deserts
lapland_longspur,all_about_birds,Grasslands
lapland_longspur,vgbi,facultative grassland
lapland_longspur,vickery_1999_obligate,grassland obligate
lark_bunting,all_about_birds,Grasslands
lark_bunting,vickery_1999_obligate,grassland obligate
lark_sparrow,all_about_birds,Grasslands
lark_sparrow,vickery_1999_facultative,facultative grassland
laughing_gull,all_about_birds,Shorelines
lawrences_goldfinch,all_about_birds,Open Woodlands
lazuli_bunting,all_about_birds,Open Woodlands
le_contes_sparrow,vickery_1999_obligate,grassland obligate
least_bittern,all_about_birds,Marshes
least_flycatcher,all_about_birds,Forests
least_grebe,all_about_birds,Lakes and Ponds
least_sandpiper,all_about_birds,Marshes
least_sandpiper,vickery_1999_facultative,facultative grassland
least_tern,all_about_birds,Shorelines
lecontes_sparrow,all_about_birds,Grasslands
lecontes_thrasher,all_about_birds,Scrub
lesser_goldfinch,all_about_birds,Open Woodlands
lesser_nighthawk,all_about_birds,Deserts
lesser_nighthawk,vickery_1999_facultative,facultative grassland
lesser_prairie_chicken,all_about_birds,Grasslands
lesser_prairie_chicken,vickery_1999_obligate,grassland obligate
lesser_scaup,all_about_birds,Lakes and Ponds
lesser_yellow_headed_vulture,vickery_1999_facultative,facultative grassland
lesser_yellowlegs,all_about_birds,Marshes
lesser_yellowlegs,vickery_1999_facultative,facultative grassland
lewiss_woodpecker,all_about_birds,Open Woodlands
limpkin,all_about_birds,Marshes
lincolns_sparrow,all_about_birds,Scrub
little_blue_heron,all_about_birds,Marshes
loggerhead_shrike,all_about_birds,Open Woodlands
loggerhead_shrike,vgbi,facultative grassland
loggerhead_shrike,vickery_1999_facultative,facultative grassland
long_billed_curlew,all_about_birds,Grasslands
long_billed_curlew,vickery_1999_obligate,grassland obligate
long_billed_dowitcher,vickery_1999_facultative,facultative grassland
long_billed_thrasher,all_about_birds,Scrub
long_eared_owl,all_about_birds,Forests
long_eared_owl,vickery_1999_obligate,grassland obligate
long_tailed_duck,all_about_birds,Lakes and Ponds
long_tailed_jaeger,all_about_birds,Tundra
long_tailed_jaeger,vickery_1999_obligate,grassland obligate
louisiana_waterthrush,all_about_birds,Rivers and Streams
lucys_warbler,all_about_birds,Scrub
macgillivrays_warbler,all_about_birds,Open Woodlands
magnificent_frigatebird,all_about_birds,Oceans
magnolia_warbler,all_about_birds,Forests
mallard,vickery_1999_facultative,facultative grassland
mangrove_cuckoo,all_about_birds,Forests
marbled_godwit,all_about_birds,Grasslands
marbled_godwit,vickery_1999_obligate,grassland obligate
marbled_murrelet,all_about_birds,Oceans
marsh_wren,all_about_birds,Marshes
mccowns_longspur,all_about_birds,Grasslands
mccowns_longspur,vickery_1999_obligate,grassland obligate
mckays_bunting,vickery_1999_obligate,grassland obligate
merlin,all_about_birds,Forests
merlin,vickery_1999_facultative,facultative grassland
mew_gull,all_about_birds,Shorelines
mexican_jay,all_about_birds,Open Woodlands
mississippi_kite,all_about_birds,Open Woodlands
monk_parakeet,all_about_birds,Forests
montezuma_quail,all_about_birds,Open Woodlands
montezuma_quail,vickery_1999_obligate,grassland obligate
mottled_duck,all_about_birds,Marshes
mountain_bluebird,all_about_birds,Open Woodlands
mountain_bluebird,vickery_1999_facultative,facultative grassland
mountain_chickadee,all_about_birds,Forests
mountain_plover,all_about_birds,Grasslands
mountain_plover,vickery_1999_obligate,grassland obligate
mountain_quail,all_about_birds,Forests
mourning_dove,all_about_birds,Open Woodlands
mourning_dove,vgbi,facultative grassland
mourning_dove,vickery_1999_facultative,facultative grassland
mourning_warbler,all_about_birds,Forests
mute_swan,all_about_birds,Lakes and Ponds
nashville_warbler,all_about_birds,Forests
nashville_warbler,peterjohn_2006,shrubland
nelsons_sparrow,all_about_birds,Marshes
neotropic_cormorant,all_about_birds,Lakes and Ponds
northern_beardless_tyrannulet,all_about_birds,Rivers and Streams
northern_bobwhite,all_about_birds,Grasslands
northern_bobwhite,peterjohn_2006,shrubland
northern_bobwhite,vgbi,facultative grassland
northern_bobwhite,vickery_1999_facultative,facultative grassland
northern_cardinal,all_about_birds,Open Woodlands
northern_cardinal,peterjohn_2006,shrubland
northern_cardinal,vgbi,facultative grassland
northern_flicker,all_about_birds,Open Woodlands
northern_flicker,vgbi,facultative grassland
northern_gannet,all_about_birds,Oceans
northern_goshawk,all_about_birds,Forests
northern_harrier,all_about_birds,Grasslands
northern_harrier,vickery_1999_obligate,grassland obligate
northern_hawk_owl,all_about_birds,Forests
northern_mockingbird,all_about_birds,Towns
northern_mockingbird,peterjohn_2006,shrubland
northern_mockingbird,vgbi,facultative grassland
northern_parula,all_about_birds,Forests
northern_pintail,all_about_birds,Marshes
northern_pintail,vickery_1999_facultative,facultative grassland
northern_pygmy_owl,all_about_birds,Forests
northern_rough_winged_swallow,all_about_birds,Rivers and Streams
northern_saw_whet_owl,all_about_birds,Forests
northern_shoveler,all_about_birds,Marshes
northern_shoveler,vickery_1999_facultative,facultative grassland
northern_shrike,all_about_birds,Open Woodlands
northern_shrike,vickery_1999_facultative,facultative grassland
northern_waterthrush,all_about_birds,Forests
northern_wheatear,all_about_birds,Tundra
nuttalls_woodpecker,all_about_birds,Open Woodlands
oak_titmouse,all_about_birds,Open Woodlands
oaxaca_sparrow,vickery_1999_facultative,facultative grassland
ocellated_quail,vickery_1999_obligate,grassland obligate
olive_sided_flycatcher,all_about_birds,Open Woodlands
olive_sparrow,all_about_birds,Scrub
olive_warbler,all_about_birds,Forests
orange_crowned_warbler,all_about_birds,Forests
orchard_oriole,all_about_birds,Open Woodlands
orchard_oriole,vgbi,facultative grassland
osprey,all_about_birds,Oceans
ovenbird,all_about_birds,Forests
pacific_golden_plover,all_about_birds,Grasslands
pacific_golden_plover,vickery_1999_obligate,grassland obligate
pacific_loon,all_about_birds,Lakes and Ponds
pacific_wren,all_about_birds,Forests
painted_bunting,all_about_birds,Scrub
painted_redstart,all_about_birds,Forests
palm_warbler,all_about_birds,Open Woodlands
parasitic_jaeger,all_about_birds,Tundra
parasitic_jaeger,vickery_1999_obligate,grassland obligate
pectoral_sandpiper,vickery_1999_facultative,facultative grassland
pelagic_cormorant,all_about_birds,Shorelines
peregrine_falcon,all_about_birds,Shorelines
peregrine_falcon,vickery_1999_facultative,facultative grassland
phainopepla,all_about_birds,Scrub
philadelphia_vireo,all_about_birds,Forests
pied_billed_grebe,all_about_birds,Lakes and Ponds
pigeon_guillemot,all_about_birds,Oceans
pileated_woodpecker,all_about_birds,Forests
pine_grosbeak,all_about_birds,Open Woodlands
pine_siskin,all_about_birds,Open Woodlands
pine_warbler,all_about_birds,Forests
pinyon_jay,all_about_birds,Open Woodlands
plain_chachalaca,all_about_birds,Forests
plumbeous_vireo,all_about_birds,Forests
pomarine_jaeger,vickery_1999_obligate,grassland obligate
prairie_falcon,all_about_birds,Grasslands
prairie_falcon,vickery_1999_facultative,facultative grassland
prairie_warbler,all_about_birds,Scrub
prairie_warbler,peterjohn_2006,shrubland
prairie_warbler,vgbi,facultative grassland
prothonotary_warbler,all_about_birds,Forests
purple_finch,all_about_birds,Forests
purple_gallinule,all_about_birds,Marshes
purple_martin,all_about_birds,Lakes and Ponds
purple_martin,vgbi,facultative grassland
purple_sandpiper,vickery_1999_facultative,facultative grassland
pygmy_nuthatch,all_about_birds,Forests
pyrrhuloxia,all_about_birds,Scrub
red_bellied_woodpecker,all_about_birds,Forests
red_breasted_merganser,all_about_birds,Lakes and Ponds
red_breasted_nuthatch,all_about_birds,Forests
red_breasted_sapsucker,all_about_birds,Forests
red_cockaded_woodpecker,all_about_birds,Open Woodlands
red_crossbill,all_about_birds,Forests
red_eyed_vireo,all_about_birds,Forests
red_faced_warbler,all_about_birds,Forests
red_headed_woodpecker,all_about_birds,Open Woodlands
red_knot,vickery_1999_facultative,facultative grassland
red_naped_sapsucker,all_about_birds,Forests
red_necked_grebe,all_about_birds,Lakes and Ponds
red_necked_phalarope,all_about_birds,Oceans
red_shouldered_hawk,all_about_birds,Forests
red_shouldered_hawk,vgbi,facultative grassland
red_tailed_hawk,vgbi,facultative grassland
red_throated_loon,all_about_birds,Lakes and Ponds
red_winged_blackbird,all_about_birds,Marshes
red_winged_blackbird,vgbi,facultative grassland
red_winged_blackbird,vickery_1999_facultative,facultative grassland
reddish_egret,all_about_birds,Marshes
redhead,all_about_birds,Lakes and Ponds
rhinoceros_auklet,all_about_birds,Oceans
ring_billed_gull,all_about_birds,Lakes and Ponds
ring_necked_duck,all_about_birds,Lakes and Ponds
ring_necked_pheasant,all_about_birds,Grasslands
ring_necked_pheasant,vickery_1999_facultative,facultative grassland
rivolis_hummingbird,all_about_birds,Forests
rock_pigeon,all_about_birds,Towns
rock_ptarmigan,all_about_birds,Tundra
rock_ptarmigan,vickery_1999_obligate,grassland obligate
rock_sandpiper,vickery_1999_facultative,facultative grassland
rock_wren,all_about_birds,Deserts
rose_breasted_grosbeak,all_about_birds,Forests
roseate_spoonbill,all_about_birds,Marshes
rosss_goose,vickery_1999_facultative,facultative grassland
rough_legged_hawk,all_about_birds,Grasslands
rough_legged_hawk,vickery_1999_obligate,grassland obligate
royal_tern,all_about_birds,Shorelines
ruby_crowned_kinglet,all_about_birds,Forests
ruby_throated_hummingbird,all_about_birds,Open Woodlands
ruby_throated_hummingbird,vgbi,facultative grassland
ruddy_breasted_seedeater,vickery_1999_obligate,grassland obligate
ruddy_duck,all_about_birds,Marshes
ruddy_turnstone,all_about_birds,Shorelines
ruffed_grouse,all_about_birds,Forests
rufous_crowned_sparrow,all_about_birds,Scrub
rufous_crowned_sparrow,vickery_1999_facultative,facultative grassland
rufous_hummingbird,all_about_birds,Open Woodlands
rufous_winged_sparrow,all_about_birds,Scrub
rufous_winged_sparrow,vickery_1999_facultative,facultative grassland
rusty_blackbird,all_about_birds,Forests
saffron_finch,vickery_1999_obligate,grassland obligate
sage_thrasher,all_about_birds,Scrub
saltmarsh_sparrow,all_about_birds,Marshes
sanderling,vickery_1999_facultative,facultative grassland
sandhill_crane,all_about_birds,Marshes
sandhill_crane,vickery_1999_facultative,facultative grassland
sandwich_tern,all_about_birds,Shorelines
savannah_sparrow,all_about_birds,Grasslands
savannah_sparrow,vickery_1999_obligate,grassland obligate
says_phoebe,all_about_birds,Grasslands
says_phoebe,vickery_1999_facultative,facultative grassland
scaled_quail,all_about_birds,Grasslands
scaled_quail,vickery_1999_facultative,facultative grassland
scarlet_tanager,all_about_birds,Forests
scissor_tailed_flycatcher,all_about_birds,Grasslands
scissor_tailed_flycatcher,vickery_1999_facultative,facultative grassland
scotts_oriole,all_about_birds,Open Woodlands
seaside_sparrow,all_about_birds,Marshes
sedge_wren,all_about_birds,Grasslands
sedge_wren,vickery_1999_obligate,grassland obligate
semipalmated_plover,all_about_birds,Shorelines
semipalmated_sandpiper,vickery_1999_facultative,facultative grassland
