es_id,key,paper,bmp,response_var,survival_scale,sign,xbar_e,xbar_c,effect_metric,yi,sei,excluded_by
md_1288,PAM2R2T8,Broyer et al. 2016,delay_hay,hatching_success,period_survival,1,72.7,47.5,log_hazard_ratio,0.8479786097188342,0.05293890119408775,
md_1289,PAM2R2T8,Broyer et al. 2016,delay_hay,hatching_success,period_survival,1,66.8,34.9,log_hazard_ratio,0.9590027997733584,0.04625217359153945,
md_1290,PAM2R2T8,Broyer et al. 2016,delay_hay,hatching_success,period_survival,1,68.2,57.6,log_hazard_ratio,0.3655911312065403,0.10340522500338922,paper_count
md_1291,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.917,0.926,log_hazard_ratio,-0.11959235541786972,0.2448938141435223,paper_count
md_1292,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.747,0.754,log_hazard_ratio,-0.03249875431636262,0.602229329548166,paper_count
md_1293,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.923,0.922,log_hazard_ratio,0.01343812401184507,0.16249024254508662,paper_count
md_1294,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.951,0.953,log_hazard_ratio,-0.0427145054652378,0.21584623819575932,paper_count
md_1295,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.962,0.981,log_hazard_ratio,-0.7028789827774644,2.867932049949101,paper_count
md_1296,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.961,0.955,log_hazard_ratio,0.14620998163256527,0.3869956272677495,paper_count
md_1297,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.97,0.968,log_hazard_ratio,0.06556509689269374,0.3841141501406206,
md_1298,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.954,0.964,log_hazard_ratio,-0.2502998802046301,0.3190467456023256,paper_count
md_1299,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.96,0.958,log_hazard_ratio,0.04982564186066351,0.17267794939753794,
md_1300,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.984,0.922,log_hazard_ratio,1.6163965014357853,0.6642470592387844,
md_1301,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.948,0.941,log_hazard_ratio,0.12996413886140745,0.27046762311106637,
md_1302,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.971,0.949,log_hazard_ratio,0.575910552462243,0.4375609968932319,
md_1303,SQ8ICKWV,Davis et al. 2016,plant_nwsg,incubation DSR,daily_survival,1,0.937,0.938,log_hazard_ratio,-0.0165279383579584,0.20292821191051033,
md_1304,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.944,0.941,log_hazard_ratio,0.05376155896724155,0.26171985814622684,
md_1305,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.921,0.938,log_hazard_ratio,-0.25134694119842527,0.30041011310857946,paper_count
md_1306,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.948,0.946,log_hazard_ratio,0.03878671097456498,0.15513001674900906,
md_1307,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.984,0.921,log_hazard_ratio,1.629670728609239,0.668121957442685,
md_1308,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.926,0.916,log_hazard_ratio,0.13210617314879292,0.25966510817332694,
md_1309,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.94,0.9,log_hazard_ratio,0.5322652060653552,0.3647022928918725,
md_1310,SQ8ICKWV,Davis et al. 2016,plant_nwsg,nestling DSR,daily_survival,1,0.93,0.931,log_hazard_ratio,-0.01491963244155902,0.21826639043952256,
md_1311,KGGBIEC9,Weldon 2006,edge_and_shrub_habitat,dsr (early nests),daily_survival,1,0.9414,0.9755,log_hazard_ratio,-0.8897262943174713,0.4264985529555653,
md_1312,KGGBIEC9,Weldon 2006,edge_and_shrub_habitat,dsr (late nests),daily_survival,1,0.968,0.929,log_hazard_ratio,0.8173237393447534,0.5517267448901456,
md_1348,Z8IHZVRP,Luscier and Thompson 2009,delay_hay,nests surviving cut (%),period_survival,1,96.08,16.67,log_hazard_ratio,3.802237120811177,0.7665536583102728,treatment_control_flag
md_1350,XYFBIX43,Fromberger et al. 2020,rotational_grazing,apparent nest success (%),period_survival,1,41.11,42.03,log_hazard_ratio,-0.0252131383063143,0.21622911420532587,paper_count
