species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
common_tern,Shorelines,NA,grasslands; rocky_areas; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,NA,facultative,TRUE
common_tody_flycatcher,NA,NA,woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
common_yellowthroat,Scrub,NA,shrub; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh,shrubland,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
coopers_hawk,Forests,NA,forest; artificial; riparian,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
corn_bunting,NA,NA,shrub; grasslands; rocky_areas; artificial,NA,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
corncrake,NA,NA,forest; savannah; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
costas_hummingbird,Deserts,NA,shrub; savannah; grasslands; plains; desert; artificial; coastal,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,NA,facultative,TRUE
couchs_kingbird,Open Woodlands,NA,woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
crested_bobwhite,NA,NA,woodland; shrub; savannah; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
crested_caracara,Scrub,NA,shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
dark_eyed_junco,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
dickcissel,Grasslands,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
double_striped_thick_knee,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
downy_woodpecker,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,facultative grassland,NA,facultative,TRUE
dunlin,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,facultative grassland,facultative,TRUE
dusky_grouse,Forests,NA,forest; shrub; grasslands,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,NA,facultative,TRUE
eastern_bluebird,Grasslands,NA,woodland; shrub; grasslands,NA,NA,Forests:  Temperate Eastern; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
eastern_kingbird,Grasslands,NA,forest; woodland; shrub; rocky_areas; artificial,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Temperate; Forests:  Tropical Lowland Evergreen,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
eastern_meadowlark,Grasslands,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
eastern_phoebe,Open Woodlands,NA,woodland; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern,NA,NA,NA,facultative grassland,NA,facultative,TRUE
eastern_towhee,Scrub,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Eastern,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
