species,source,classification,analysis
gilded_flicker,partners_in_flight,Aridlands: Desert Scrub,0
glaucous_gull,all_about_birds,Shorelines,0
glaucous_winged_gull,all_about_birds,Shorelines,0
glossy_ibis,all_about_birds,Marshes,0
golden_cheeked_warbler,all_about_birds,Forests,0
golden_crowned_kinglet,all_about_birds,Forests,0
golden_crowned_sparrow,all_about_birds,Scrub,0
golden_crowned_sparrow,partners_in_flight,Open Country: Habitat Mosaic,0
golden_crowned_sparrow,hand_entered,facultative,0
golden_eagle,all_about_birds,Grasslands,1
golden_eagle,partners_in_flight,Open Country: Habitat Mosaic,1
golden_eagle,hand_entered,facultative,1
golden_fronted_woodpecker,all_about_birds,Open Woodlands,0
golden_winged_warbler,all_about_birds,Open Woodlands,0
golden_winged_warbler,peterjohn_2006,shrubland,0
graces_warbler,all_about_birds,Forests,0
grasshopper_sparrow,all_about_birds,Grasslands,1
grasshopper_sparrow,hand_entered,obligate,1
grasshopper_sparrow,vickery_1999_obligate,grassland obligate,1
grassland_yellow_finch,hand_entered,obligate,0
grassland_yellow_finch,vickery_1999_obligate,grassland obligate,0
gray_breasted_martin,partners_in_flight,Open Country Aerial: Developed/Disturbed; Open Country Aerial: Habitat Mosaic,0
gray_breasted_martin,hand_entered,facultative,0
gray_capped_flycatcher,partners_in_flight,Open Country: Habitat Mosaic,0
gray_capped_flycatcher,hand_entered,facultative,0
gray_catbird,all_about_birds,Open Woodlands,1
gray_catbird,peterjohn_2006,shrubland,1
gray_cheeked_thrush,all_about_birds,Forests,0
gray_crowned_rosy_finch,partners_in_flight,Open Country: Habitat Mosaic,0
gray_crowned_rosy_finch,hand_entered,facultative,0
gray_crowned_rosy_finch,vickery_1999_facultative,facultative grassland,0
gray_crowned_yellowthroat,partners_in_flight,Open Country: Habitat Mosaic,0
gray_crowned_yellowthroat,hand_entered,facultative,0
gray_flycatcher,all_about_birds,Open Woodlands,1
gray_flycatcher,partners_in_flight,Aridlands: Desert Scrub,1
gray_hawk,all_about_birds,Forests,0
gray_hawk,partners_in_flight,Open Country: Habitat Mosaic,0
gray_hawk,hand_entered,facultative,0
gray_kingbird,all_about_birds,Open Woodlands,0
gray_lined_hawk,partners_in_flight,Open Country: Habitat Mosaic,0
gray_lined_hawk,hand_entered,facultative,0
gray_partridge,all_about_birds,Grasslands,1
gray_partridge,partners_in_flight,Open Country: Developed/Disturbed,1
gray_partridge,hand_entered,facultative,1
gray_partridge,vickery_1999_facultative,facultative grassland,1
gray_thrasher,partners_in_flight,Aridlands: Desert Scrub,0
