species,habitat
double_crested_cormorant,Wetlands:  Generalist; Coasts:  Beach and Estuary; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
neotropic_cormorant,Wetlands:  Generalist; Coasts:  Beach and Estuary
american_white_pelican,Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh
brown_pelican,Coasts:  Beach and Estuary; Coasts:  Marine Waters
pinnated_bittern,Wetlands:  Freshwater Marsh
american_bittern,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
least_bittern,Wetlands:  Freshwater Marsh
rufescent_tiger_heron,Wetlands:  Freshwater Marsh
fasciated_tiger_heron,Wetlands:  Lakes and Rivers; Forests:  Tropical Lowland Evergreen
bare_throated_tiger_heron,Wetlands:  Freshwater Marsh
great_blue_heron,Wetlands:  Generalist; Coasts:  Saltmarsh
cocoi_heron,Wetlands:  Generalist
great_egret,Wetlands:  Generalist; Coasts:  Saltmarsh
cattle_egret,Wetlands:  Generalist; Open Country:  Developed/Disturbed; Wetlands:  Seasonally Wet Grasslands
green_heron,Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh
striated_heron,Wetlands:  Freshwater Marsh
agami_heron,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen
capped_heron,Wetlands:  Freshwater Marsh
black_crowned_night_heron,Wetlands:  Generalist; Coasts:  Saltmarsh
yellow_crowned_night_heron,Wetlands:  Generalist; Coasts:  Mangroves; Coasts:  Saltmarsh
boat_billed_heron,Wetlands:  Generalist; Coasts:  Mangroves
white_ibis,Wetlands:  Generalist; Coasts:  Mangroves; Coasts:  Saltmarsh
swallow_tailed_kite,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
crested_eagle,Forests:  Tropical Lowland Evergreen
harpy_eagle,Forests:  Tropical Lowland Evergreen
golden_eagle,Open Country:  Habitat Mosaic
black_hawk_eagle,Forests:  Tropical Lowland Evergreen
mississippi_kite,Forests:  Temperate Eastern; Forests:  Tropical Dry; Open Country:  Developed/Disturbed
plumbeous_kite,Forests:  Tropical Lowland Evergreen
black_collared_hawk,Wetlands:  Freshwater Marsh
crane_hawk,Forests:  Tropical Generalist
snail_kite,Wetlands:  Freshwater Marsh
slender_billed_kite,Forests:  Tropical Lowland Evergreen
plumbeous_hawk,Forests:  Tropical Lowland Evergreen
common_black_hawk,Wetlands:  Forested; Coasts:  Mangroves
savanna_hawk,Grasslands:  Tropical
great_black_hawk,Wetlands:  Forested; Forests:  Tropical Lowland Evergreen
solitary_eagle,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Highland
barred_hawk,Forests:  Tropical Montane Evergreen
roadside_hawk,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
harriss_hawk,Aridlands:  Desert Scrub
white_tailed_hawk,Forests:  Tropical Dry; Grasslands:  Tropical
broad_winged_hawk,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Generalist
short_tailed_hawk,Open Country:  Habitat Mosaic; Forests:  Generalist
swainsons_hawk,Grasslands:  Temperate; Grasslands:  Pampas and Campos
zone_tailed_hawk,Forests:  Tropical Generalist
red_tailed_hawk,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
