species,primary_habitat,habitat
great_curassow,Forest,forest; artificial; coastal
blue_billed_curassow,Forest,forest
yellow_knobbed_curassow,Forest,forest; woodland; shrub; riparian
black_curassow,Forest,forest; bamboo; shrub; artificial; riparian
wattled_curassow,Forest,forest; shrub; riparian
bare_faced_curassow,Forest,forest; bamboo; woodland; riparian; coastal
belem_curassow,Forest,forest; woodland
red_billed_curassow,Forest,forest; shrub; artificial; riparian
white_breasted_guineafowl,Forest,forest; artificial
black_guineafowl,Forest,forest; artificial
helmeted_guineafowl,Savanna,forest; woodland; shrub; savannah; grasslands; desert; artificial
plumed_guineafowl,Forest,forest
western_crested_guineafowl,Forest,forest; woodland; savannah
eastern_crested_guineafowl,Forest,forest; woodland; savannah; artificial
southern_crested_guineafowl,Forest,forest; woodland; coastal
vulturine_guineafowl,Shrub,forest; woodland; shrub; savannah; grasslands; riparian
stone_partridge,Rocky,woodland; shrub; savannah; rocky_areas; artificial; riparian; coastal
nahans_partridge,Forest,forest; riparian
buffy_crowned_wood_partridge,Forest,forest; artificial
long_tailed_wood_partridge,Forest,forest
bearded_wood_partridge,Forest,forest; artificial; riparian
mountain_quail,Shrub,forest; shrub; artificial
scaled_quail,Shrub,shrub; grasslands; desert
elegant_quail,Forest,forest; shrub
california_quail,Shrub,forest; shrub; grasslands; desert; artificial
gambels_quail,Desert,shrub; desert; artificial; riparian
banded_quail,Shrub,forest; shrub; artificial
northern_bobwhite,Woodland,woodland; shrub; artificial
black_throated_bobwhite,Shrub,forest; woodland; shrub; savannah; artificial
spot_bellied_bobwhite,Grassland,woodland; shrub; savannah; grasslands; artificial
crested_bobwhite,Savanna,woodland; shrub; savannah; artificial
marbled_wood_quail,Forest,forest
spot_winged_wood_quail,Forest,forest
black_eared_wood_quail,Forest,forest
rufous_fronted_wood_quail,Forest,forest
black_fronted_wood_quail,Forest,forest; artificial
chestnut_wood_quail,Forest,forest; shrub; artificial
dark_backed_wood_quail,Forest,forest
rufous_breasted_wood_quail,Forest,forest
tacarcuna_wood_quail,Forest,forest
gorgeted_wood_quail,Forest,forest
venezuelan_wood_quail,Forest,forest
black_breasted_wood_quail,Forest,forest; shrub
stripe_faced_wood_quail,Forest,forest; bamboo; wetlands_lakes_marsh
starred_wood_quail,Forest,forest
spotted_wood_quail,Forest,forest
singing_quail,Forest,forest; shrub; artificial
montezuma_quail,Woodland,forest; woodland; grasslands
spot_breasted_quail,Forest,forest; woodland; shrub; grasslands
ocellated_quail,Woodland,woodland
tawny_faced_quail,Forest,forest
udzungwa_forest_partridge,Forest,forest
ferruginous_partridge,Forest,forest; bamboo; shrub
crested_partridge,Forest,forest; bamboo; grasslands
black_partridge,Forest,forest
hill_partridge,Forest,forest; shrub; riparian
sichuan_partridge,Forest,forest; bamboo; woodland
chestnut_breasted_partridge,Forest,forest
collared_partridge,Forest,forest; bamboo; shrub
rufous_throated_partridge,Forest,forest; bamboo; shrub
red_billed_partridge,Forest,forest; shrub
chestnut_headed_partridge,Forest,forest; artificial
hainan_partridge,Forest,forest
taiwan_partridge,Forest,forest
white_cheeked_partridge,Forest,forest; bamboo; shrub; grasslands; artificial
bar_backed_partridge,Forest,forest; bamboo
orange_necked_partridge,Forest,forest; bamboo; shrub; artificial
bornean_partridge,Forest,forest; bamboo
malay_partridge,Forest,forest
tan_breasted_partridge,Forest,forest
sumatran_partridge,Forest,forest
chestnut_bellied_partridge,Forest,forest
white_faced_partridge,Forest,forest
snow_partridge,Grassland,shrub; grasslands; rocky_areas
blood_pheasant,Shrub,forest; bamboo; shrub
western_tragopan,Forest,forest
satyr_tragopan,Forest,forest; bamboo
blyths_tragopan,Forest,forest; bamboo; woodland; shrub
temmincks_tragopan,Forest,forest; bamboo; shrub
cabots_tragopan,Forest,forest
chestnut_throated_partridge,Forest,forest; shrub; grasslands; rocky_areas
buff_throated_partridge,Forest,forest; shrub; rocky_areas
himalayan_monal,Forest,forest; bamboo; artificial
sclaters_monal,Forest,forest; bamboo; shrub
chinese_monal,Forest,forest; shrub; grasslands; rocky_areas
koklass_pheasant,Forest,forest; bamboo
wild_turkey,Forest,forest; shrub; grasslands; artificial
ocellated_turkey,Forest,forest; grasslands; artificial; wetlands_lakes_marsh
ruffed_grouse,Shrub,forest; shrub
hazel_grouse,Woodland,forest; woodland
chinese_grouse,Forest,forest; shrub
sage_grouse,Grassland,shrub; savannah; grasslands
gunnison_grouse,Shrub,shrub
dusky_grouse,Forest,forest; shrub; grasslands
sooty_grouse,Forest,forest
sharp_tailed_grouse,Grassland,forest; woodland; grasslands; desert; artificial
greater_prairie_chicken,Shrub,forest; woodland; shrub; savannah; grasslands; artificial; riparian; coastal
lesser_prairie_chicken,Grassland,shrub; grasslands; artificial
white_tailed_ptarmigan,Grassland,grasslands; rocky_areas
red_grouse,Shrub,shrub; grasslands; artificial; wetlands_lakes_marsh
willow_grouse,Grassland,forest; shrub; grasslands; rocky_areas; artificial; riparian
rock_ptarmigan,Grassland,shrub; grasslands
siberian_grouse,Forest,forest
spruce_grouse,Forest,forest; shrub
franklins_grouse,Forest,forest
western_capercaillie,Forest,forest; woodland
black_billed_capercaillie,Forest,forest; grasslands
black_grouse,Forest,forest; shrub; grasslands; desert; artificial; wetlands_lakes_marsh
caucasian_grouse,Shrub,forest; shrub; grasslands
long_billed_partridge,Forest,forest; bamboo
dulit_partridge,Forest,forest
tibetan_partridge,Grassland,shrub; grasslands; artificial
grey_partridge,Grassland,shrub; grasslands; plains; artificial
daurian_partridge,Grassland,woodland; grasslands; artificial
copper_pheasant,Forest,forest; rocky_areas
reevess_pheasant,Woodland,forest; woodland; grasslands
mikado_pheasant,Forest,forest; bamboo
elliots_pheasant,Forest,forest; bamboo
mrs_humes_pheasant,Forest,forest; shrub; grasslands; rocky_areas
golden_pheasant,Forest,forest; bamboo; shrub; grasslands; artificial
lady_amhersts_pheasant,Forest,forest; bamboo; shrub; artificial
common_pheasant,Artificial,woodland; shrub; artificial; riparian
green_pheasant,Artificial,woodland; shrub; savannah; artificial
cheer_pheasant,Grassland,forest; shrub; grasslands
tibetan_eared_pheasant,Forest,forest; shrub; grasslands
white_eared_pheasant,Forest,forest; shrub
brown_eared_pheasant,Forest,forest; shrub
blue_eared_pheasant,Forest,forest; shrub; grasslands
vietnam_pheasant,Forest,forest; bamboo
swinhoes_pheasant,Forest,forest
bulwers_pheasant,Forest,forest; bamboo
kalij_pheasant,Forest,forest; shrub; artificial
silver_pheasant,Forest,forest; grasslands
malay_crestless_fireback,Forest,forest; shrub
bornean_crestless_fireback,Forest,forest; riparian
siamese_fireback,Forest,forest; bamboo; shrub; plains
salvadoris_pheasant,Forest,forest
malay_crested_fireback,Forest,forest; grasslands
bornean_crested_fireback,Grassland,forest; grasslands; riparian
annamite_crested_argus,Forest,forest
malaysian_crested_argus,Forest,forest; bamboo
great_argus,Forest,forest
congo_peafowl,Forest,forest
indian_peafowl,Forest,forest; artificial; riparian
green_peafowl,Woodland,forest; bamboo; woodland; savannah; grasslands; artificial; riparian
green_legged_partridge,Forest,forest; bamboo
tonkin_partridge,Forest,forest
chestnut_necklaced_partridge,Forest,forest
sabah_partridge,Forest,forest
crimson_headed_partridge,Forest,forest
red_spurfowl,Shrub,bamboo; shrub
painted_spurfowl,Shrub,bamboo; shrub; rocky_areas
sri_lanka_spurfowl,Forest,forest
palawan_peacock_pheasant,Forest,forest
bornean_peacock_pheasant,Forest,forest; grasslands; riparian
malay_peacock_pheasant,Forest,forest; riparian
germains_peacock_pheasant,Forest,forest; bamboo
hainan_peacock_pheasant,Forest,forest
grey_peacock_pheasant,Forest,forest
mountain_peacock_pheasant,Forest,forest
bronze_tailed_peacock_pheasant,Forest,forest; artificial
mountain_bamboo_partridge,Forest,forest; bamboo; woodland; grasslands; riparian
chinese_bamboo_partridge,Bamboo,forest; bamboo; shrub; grasslands
taiwan_bamboo_partridge,Shrub,bamboo; shrub; grasslands
green_junglefowl,Shrub,forest; shrub; grasslands; artificial; coastal
red_junglefowl,Forest,forest; bamboo; woodland; shrub; artificial; coastal
grey_junglefowl,Forest,forest; bamboo; artificial
sri_lanka_junglefowl,Forest,forest; shrub; coastal
forest_francolin,Forest,forest; riparian
crested_francolin,Shrub,forest; woodland; shrub; riparian
grey_francolin,Grassland,shrub; grasslands; plains; artificial
swamp_francolin,Wetland,grasslands; artificial; riparian; wetlands_lakes_marsh
chinese_francolin,Woodland,woodland; shrub; grasslands; artificial
